"Name","PowerState","Notes","Guest","NumCpu","CoresPerSocket","MemoryMB","MemoryGB","VMHostId","VMHost","VApp","FolderId","Folder","ResourcePoolId","ResourcePool","HARestartPriority","HAIsolationResponse","DrsAutomationLevel","VMSwapfilePolicy","VMResourceConfiguration","Version","PersistentId","GuestId","UsedSpaceGB","ProvisionedSpaceGB","DatastoreIdList","ExtensionData","CustomFields","Id","Uid","Client"
"Artifactory","PoweredOn","","Artifactory:","1","1","2048","2","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/20480","v8","5032225d-6e71-6299-b267-08070a208d79","ubuntu64Guest","62.106998062692582607269287109","62.106998524628579616546630859","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-20990","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-20990/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"concourse","PoweredOn","","concourse:","4","2","8192","8","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/20480","v8","50321133-6a1a-eebd-7ee2-d2f24050f925","ubuntu64Guest","208.11102975904941558837890625","208.11103022005409002304077148","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-21006","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-21006/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"D6 DB2008","PoweredOn","","D6 DB2008:Microsoft Windows Server 2012 (64-bit)","4","4","8192","8","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/81920","v8","503268c4-426e-ccbd-3f16-c17d7cbd673d","windows8Server64Guest","148.23658136930316686630249023","148.23658245801925659179687500","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-9015","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-9015/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"D6 DB2012","PoweredOn","","D6 DB2012:Microsoft Windows Server 2012 (64-bit)","8","8","12288","12","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/122880","v8","503209a5-168f-8729-dbea-b576d5621248","windows8Server64Guest","783.07109712250530719757080078","783.07109807617962360382080078","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-9003","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-9003/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"D6 PTW DEMO","PoweredOff","","D6 PTW DEMO:Microsoft Windows Server 2012 (64-bit)","6","6","12288","12","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/6000 MemShares:Normal/122880","v8","5032229d-e3de-cfed-3371-e105af349fb8","windows8Server64Guest","116.54320579301565885543823242","116.93864971026778221130371094","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-9004","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-9004/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"D6-CONNECT2","PoweredOn","","D6-CONNECT2:Microsoft Windows Server 2012 (64-bit)","8","4","12288","12","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/122880","v8","503235cb-b7aa-29bb-e4bc-9d21dcab696c","windows8Server64Guest","157.12705614510923624038696289","157.12705724127590656280517578","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-9009","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-9009/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"D6-GE-PTDAPP","PoweredOff","","D6-GE-PTDAPP:Microsoft Windows Server 2012 (64-bit)","4","4","4096","4","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/40960","v8","50326ce5-2931-35a1-12fd-5be35175197f","windows8Server64Guest","80.02109328471124172210693359","84.34225745499134063720703125","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-9005","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-9005/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"DB2012","PoweredOn","","DB2012:Microsoft Windows Server 2012 (64-bit)","8","4","24576","24","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/245760","v8","5032c5ae-062a-c5b7-657d-586aaf2cc22e","windows8Server64Guest","682.34163862746208906173706055","682.34164003841578960418701172","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-9012","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-9012/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"DB2014","PoweredOn","","DB2014:Microsoft Windows Server 2012 (64-bit)","8","4","12288","12","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/122880","v8","5032ad46-d39a-e2e8-307f-36052ffa6cca","windows8Server64Guest","292.1162214456126093864440918","292.1162228761240839958190918","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-9011","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-9011/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"Docker","PoweredOff","","Docker:","1","1","2048","2","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/20480","v8","50326700-a9b6-2eb8-bb26-1ce9a476695d","ubuntu64Guest","62.000902319326996803283691406","62.210646254941821098327636718","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-13839","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-13839/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"JIRA","PoweredOn","","JIRA:Microsoft Windows Server 2012 (64-bit)","8","1","16384","16","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/81920","v10","503294ba-28fb-9a5a-65a7-7b261e4d8522","windows8Server64Guest","183.61629578843712806701660156","224.19246948882937431335449218","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-9014","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-9014/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"QA Kubernetes","PoweredOn","","QA Kubernetes:","1","1","2048","2","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/20480","v8","5032f223-3c10-f5ba-8b5d-2d6a2eb61128","ubuntu64Guest","62.107036998495459556579589844","62.107037462294101715087890625","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-26917","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-26917/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"QA Linux","PoweredOn","","QA Linux:","2","2","8192","8","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v8","5032de23-79b9-2363-509a-46328ac5abff","ubuntu64Guest","207.0004522083327174186706543","308.10885142534971237182617188","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-23558","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-23558/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"QA Linux2","PoweredOff","","QA Linux2:","2","2","8192","8","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v8","5032aa80-bc41-22e0-0222-f5e359d5c2ad","ubuntu64Guest","150.00018168427050113677978516","158.24706553760915994644165039","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-28609","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-28609/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"QA1","PoweredOn","","QA1:Microsoft Windows Server 2012 (64-bit)","8","1","12288","12","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/122880","v10","5032b9bc-bcf2-d81e-446f-024a675155fd","windows8Server64Guest","100.31565104611217975616455078","100.31565201003104448318481445","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-9006","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-9006/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"Sisense","PoweredOn","","Sisense:Microsoft Windows Server 2012 (64-bit)","8","8","16384","16","HostSystem-host-30","tza-host02",,"Folder-group-v47","D5","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/163840","v8","5032f09b-c222-87dd-c53b-c72e122a96c9","otherGuest64","316.49625886417925357818603516","316.49625979363918304443359375","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-26744","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-26744/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"TZA-APP01","PoweredOn","","TZA-APP01:Microsoft Windows Server 2012 (64-bit)","2","2","12288","12","HostSystem-host-29","tza-host01",,"Folder-group-v46","Production","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/122880","v8","502f1d71-6775-020b-acc6-99cb4e520456","windows8Server64Guest","72.158467973582446575164794922","72.158468515612185001373291016","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-39","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-39/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"TZA-APP02","PoweredOn","","TZA-APP02:Microsoft Windows Server 2012 (64-bit)","4","4","14336","14","HostSystem-host-29","tza-host01",,"Folder-group-v46","Production","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/122880","v8","502fd644-4c3a-226b-b71b-ebd81d065629","windows8Server64Guest","74.164281117729842662811279297","74.164281659759581089019775391","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-40","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-40/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"TZA-DC11","PoweredOn","","TZA-DC11:Microsoft Windows Server 2012 (64-bit)","4","4","12288","12","HostSystem-host-29","tza-host01",,"Folder-group-v46","Production","ResourcePool-resgroup-27","Resources","High","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/122880","v8","502f2d7a-d415-bd81-f4a2-8cf01fe02938","windows8Server64Guest","73.945263785310089588165283203","73.945264325477182865142822266","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-41","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-41/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"TZA-File01","PoweredOn","","TZA-File01:Microsoft Windows Server 2012 (64-bit)","4","4","12288","12","HostSystem-host-29","tza-host01",,"Folder-group-v46","Production","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/122880","v8","502f1f8a-def2-c64a-1908-aaeb7cf8f4ef","windows8Server64Guest","1083.5711337728425860404968262","1083.5711354147642850875854492","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-35","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-35/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"TZA-FTP","PoweredOn","","TZA-FTP:Microsoft Windows Server 2012 (64-bit)","4","4","12288","12","HostSystem-host-29","tza-host01",,"Folder-group-v46","Production","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/122880","v8","50322c42-cb76-c2f2-8649-bd29c936ebc9","windows8Server64Guest","275.16866244934499263763427734","275.16866298858076333999633789","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-495","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-495/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"TZA-Shoretel","PoweredOn","","TZA-Shoretel:Microsoft Windows Server 2012 (64-bit)","2","2","8192","8","HostSystem-host-29","tza-host01",,"Folder-group-v46","Production","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v8","5032d8c9-d2b4-3115-c85f-6988abf81226","windows8Server64Guest","158.16748472023755311965942383","158.16748526971787214279174805","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-4416","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-4416/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"TZA-SLOT3D","PoweredOn","","TZA-SLOT3D:Microsoft Windows Server 2003 Standard (32-bit)","2","2","4776","4.6640625","HostSystem-host-29","tza-host01",,"Folder-group-v46","Production","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40920","v7","5032d820-7d2e-ae57-eebc-4ea0e87d9b0f","winNetStandardGuest","354.84664335008710622787475586","354.84664462786167860031127930","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-48","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-48/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"TZA-Util01","PoweredOn","","TZA-Util01:Microsoft Windows Server 2012 (64-bit)","4","4","12288","12","HostSystem-host-29","tza-host01",,"Folder-group-v46","Production","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/122880","v8","502f4dd8-9888-ef29-db09-8b40779e13ea","windows8Server64Guest","272.20480986032634973526000977","272.20481095276772975921630860","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-37","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-37/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"TZA-Util02","PoweredOn","","TZA-Util02:Microsoft Windows Server 2012 (64-bit)","4","4","12288","12","HostSystem-host-29","tza-host01",,"Folder-group-v46","Production","ResourcePool-resgroup-27","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/122880","v8","502fd123-bca2-7224-8e5a-529f333f0663","windows8Server64Guest","622.18445876333862543106079102","622.18445985671132802963256836","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-38","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-38/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"TZA-VCS01","PoweredOn","","TZA-VCS01:Microsoft Windows Server 2012 (64-bit)","4","4","12288","12","HostSystem-host-29","tza-host01",,"Folder-group-v46","Production","ResourcePool-resgroup-27","Resources","High","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/122880","v8","52f5939b-f571-5fec-aa15-f3473c457fda","windows8Server64Guest","212.49425032921135425567626953","212.49425130337476730346679687","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-43","/VIServer=tzaconsulting\administrator@tza-vcs01:443/VirtualMachine=VirtualMachine-vm-43/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
